"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping","Mapping: HL7 V2 Mapping"
"SubscriptionTopic","SubscriptionTopic","","","",0,*,"","","","null {[]} {[]}
"SubscriptionTopic.description","SubscriptionTopic.description","","","",1,1,"Y","","","markdown {[]} {[]}
","Natural language description of the SubscriptionTopic","A free text natural language description of the Topic from the consumer's perspective.","This description can be used to capture details such as comments about misuse, instructions for clinical use and interpretation, literature references, examples from the paper world, etc. It is not a rendering of the module as conveyed in the text field of the resource itself. This item SHOULD be populated unless the information is available from context.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.description",".text"
"SubscriptionTopic.useContext","SubscriptionTopic.useContext","","","",0,*,"","","Y","UsageContext {[]} {[]}
","Content intends to support these contexts","The content was developed with a focus and intent of supporting the contexts that are listed. These terms may be used to assist with indexing and searching of code system definitions.","When multiple usageContexts are specified, there is no expectation for whether all or any of the contexts apply.","Assist in searching for appropriate content.","","","","","","","",,,,,"",,,,"SubscriptionTopic.useContext",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.useContext","N/A (to add?)"
"SubscriptionTopic.jurisdiction","SubscriptionTopic.jurisdiction","","","",0,*,"Y","","Y","CodeableConcept {[]} {[]}
","Intended jurisdiction of the SubscriptionTopic (if applicable)","A jurisdiction in which the Topic is intended to be used.","DEPRECATION NOTE: For consistency, implementations are encouraged to migrate to using the new 'jurisdiction' code in the useContext element.  (I.e. useContext.code indicating http://terminology.hl7.org/CodeSystem/usage-context-type#jurisdiction and useContext.valueCodeableConcept indicating the jurisdiction.)","","","","","","","","",,"extensible","Countries and regions within which this artifact is targeted for use.","http://hl7.org/fhir/ValueSet/jurisdiction|5.0.0","",,,,"SubscriptionTopic.jurisdiction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.jurisdiction","N/A (to add?)"
"SubscriptionTopic.purpose","SubscriptionTopic.purpose","","","",0,1,"Y","","","markdown {[]} {[]}
","Why this SubscriptionTopic is defined","Explains why this Topic is needed and why it has been designed as it has.","This element does not describe the usage of the Topic.  Rather it is for traceability of ''why'' the resource is either needed or ''why'' it is defined as it is.  This may be used to point to source materials or specifications that drove the structure of this Topic.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.purpose",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.purpose","FiveWs.why[x]",".reasonCode.text"
"SubscriptionTopic.copyright","SubscriptionTopic.copyright","","License
Restrictions","",0,1,"","","","markdown {[]} {[]}
","Use and/or publishing restrictions","A copyright statement relating to the SubscriptionTopic and/or its contents. Copyright statements are generally legal restrictions on the use and publishing of the SubscriptionTopic.","...","Consumers of the TSubscriptionTopicopic must be able to determine any legal restrictions on the use of the artifact and/or its content.","","","","","","","",,,,,"",,,,"SubscriptionTopic.copyright",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.copyright","N/A (to add?)"
"SubscriptionTopic.copyrightLabel","SubscriptionTopic.copyrightLabel","","","",0,1,"","","","string {[]} {[]}
","Copyright holder and year(s)","A short string (<50 characters), suitable for inclusion in a page footer that identifies the copyright holder, effective period, and optionally whether rights are resctricted. (e.g. 'All rights reserved', 'Some rights reserved').","The (c) symbol should NOT be included in this string. It will be added by software when rendering the notation. Full details about licensing, restrictions, warrantees, etc. goes in the more general 'copyright' element.","Defines the content expected to be rendered in all representations of the artifact.","","","","","","","",,,,,"",,,,"SubscriptionTopic.copyrightLabel",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.approvalDate","SubscriptionTopic.approvalDate","","","",0,1,"","","","date {[]} {[]}
","When SubscriptionTopic is/was approved by publisher","The date on which the asset content was approved by the publisher. Approval happens once when the content is officially approved for usage.","The date may be more recent than the approval date because of minor changes / editorial corrections.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.approvalDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.approvalDate",".outboundRelationship[typeCode=""SUBJ""].act[classCode=CACT;moodCode=EVN;code=""approval""].effectiveTime"
"SubscriptionTopic.lastReviewDate","SubscriptionTopic.lastReviewDate","","","",0,1,"","","","date {[]} {[]}
","Date the Subscription Topic was last reviewed by the publisher","The date on which the asset content was last reviewed. Review happens periodically after that, but doesn't change the original approval date.","If specified, this is usually after the approval date.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.lastReviewDate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.lastReviewDate",".outboundRelationship[typeCode=""SUBJ""; subsetCode=""RECENT""].act[classCode=CACT;moodCode=EVN;code=""review""].effectiveTime"
"SubscriptionTopic.effectivePeriod","SubscriptionTopic.effectivePeriod","","","",0,1,"","","Y","Period {[]} {[]}
","The effective date range for the SubscriptionTopic","The period during which the SubscriptionTopic content was or is planned to be effective.","The effective period for a SubscriptionTopic  determines when the content is applicable for usage and is independent of publication and review dates. For example, a measure intended to be used for the year 2016 would be published in 2015.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.effectivePeriod",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.effectivePeriod","N/A (to add?)"
"SubscriptionTopic.resourceTrigger","SubscriptionTopic.resourceTrigger","","","",1,*,"Y","","Y","BackboneElement {[]} {[]}
","Definition of a resource-based trigger for the subscription topic","A definition of a resource-based event that triggers a notification based on the SubscriptionTopic. The criteria may be just a human readable description and/or a full FHIR search string or FHIRPath expression. Multiple triggers are considered OR joined (e.g., a resource update matching ANY of the definitions will trigger a notification).","","","","","","","","","",,,,,"",,,,"SubscriptionTopic.resourceTrigger",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A (to add?)"
"SubscriptionTopic.resourceTrigger.id","SubscriptionTopic.resourceTrigger.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"SubscriptionTopic.resourceTrigger.extension","SubscriptionTopic.resourceTrigger.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"SubscriptionTopic.resourceTrigger.modifierExtension","SubscriptionTopic.resourceTrigger.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubscriptionTopic.resourceTrigger.description","SubscriptionTopic.resourceTrigger.description","","","",0,1,"","","Y","markdown {[]} {[]}
","Text representation of the resource trigger","The human readable description of this resource trigger for the SubscriptionTopic -  for example, ""An Encounter enters the 'in-progress' state"".","Implementation of particular subscription topics might not use a computable definition and instead base their design on the definition.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.resourceTrigger.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.resourceTrigger.resource","SubscriptionTopic.resourceTrigger.resource","","","",1,1,"Y","","Y","uri {[]} {[]}
","Data Type or Resource (reference to definition) for this trigger definition","URL of the Resource that is the type used in this resource trigger.  Relative URLs are relative to the StructureDefinition root of the implemented FHIR version (e.g., http://hl7.org/fhir/StructureDefinition). For example, ""Patient"" maps to http://hl7.org/fhir/StructureDefinition/Patient.  For more information, see <a href=""elementdefinition-definitions.html#ElementDefinition.type.code"">ElementDefinition.type.code</a>.","","","","","","","","","",,"extensible","A type of resource, or a Reference (from all versions)","http://hl7.org/fhir/ValueSet/subscription-types|5.0.0","",,,,"SubscriptionTopic.resourceTrigger.resource",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.resourceTrigger.supportedInteraction","SubscriptionTopic.resourceTrigger.supportedInteraction","","","",1,*,"Y","","Y","code {[]} {[]}
","create | update | delete","The FHIR RESTful interaction which can be used to trigger a notification for the SubscriptionTopic. Multiple values are considered OR joined (e.g., CREATE or UPDATE). If not present, all supported interactions are assumed.","","","","","","","","","",,"required","FHIR RESTful interaction used to filter a resource-based SubscriptionTopic trigger.","http://hl7.org/fhir/ValueSet/interaction-trigger|5.0.0","",,,,"SubscriptionTopic.resourceTrigger.supportedInteraction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.resourceTrigger.queryCriteria","SubscriptionTopic.resourceTrigger.queryCriteria","","","",0,1,"Y","","Y","BackboneElement {[]} {[]}
","Query based trigger rule","The FHIR query based rules that the server should use to determine when to trigger a notification for this subscription topic.","","","","","","","","","",,,,,"",,,,"SubscriptionTopic.resourceTrigger.queryCriteria",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.resourceTrigger.queryCriteria.id","SubscriptionTopic.resourceTrigger.queryCriteria.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"SubscriptionTopic.resourceTrigger.queryCriteria.extension","SubscriptionTopic.resourceTrigger.queryCriteria.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
