"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.notes","ZMCoreImmunizationRecord.notes","","","",0,1,"","","","string {[]} {[]}
","Notes","Notes","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.notes",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics","ZMCorePatientDemographics","","","",0,*,"","","","null {[]} {[]}
","Patient Demographics","Core patient demographic information for Zambian health systems","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.identifier","ZMCorePatientDemographics.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Patient Identifier","Patient Identifier","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.identifier",1,*,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.fullName","ZMCorePatientDemographics.fullName","","","",1,1,"","","","string {[]} {[]}
","Patient Full Name","Patient Full Name","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.fullName",1,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.firstName","ZMCorePatientDemographics.firstName","","","",0,1,"","","","string {[]} {[]}
","Patient First Name","Patient First Name","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.firstName",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.lastName","ZMCorePatientDemographics.lastName","","","",0,1,"","","","string {[]} {[]}
","Patient Last Name","Patient Last Name","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.lastName",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.birthDate","ZMCorePatientDemographics.birthDate","","","",0,1,"","","","date {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.birthDate",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.gender","ZMCorePatientDemographics.gender","","","",0,1,"","","","code {[]} {[]}
","Gender","Gender","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.gender",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.maritalStatus","ZMCorePatientDemographics.maritalStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Marital Status","Marital Status","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.maritalStatus",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.ethnicity","ZMCorePatientDemographics.ethnicity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Ethnicity","Ethnicity","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.ethnicity",0,1,"",""
